CustomerID,TenureMonths,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,SupportTickets,TechSupportCalls,SeniorCitizen,Dependents,PaperlessBilling,Churn
CUST10000,7,75.14,628.18,One year,No,Bank transfer,1,2,No,No,Yes,1
CUST10001,56,104.95,5871.13,One year,Fiber optic,Electronic check,0,2,No,No,Yes,1
CUST10002,48,119.85,5828.92,Month-to-month,DSL,Electronic check,3,2,Yes,Yes,No,1
CUST10003,32,100.67,3155.19,One year,Fiber optic,Credit card,3,3,No,Yes,No,1
CUST10004,32,126.14,4061.03,One year,DSL,Credit card,4,0,No,No,Yes,1
CUST10005,62,107.11,6741.04,One year,Fiber optic,Electronic check,1,0,Yes,No,Yes,1
CUST10006,7,116.01,845.28,Month-to-month,Fiber optic,Electronic check,3,3,No,No,Yes,1
CUST10007,51,36.98,1833.05,Month-to-month,DSL,Bank transfer,3,3,No,No,Yes,1
CUST10008,15,101.9,1500.6,Month-to-month,DSL,Electronic check,1,1,No,Yes,No,1
CUST10009,7,71.21,600.04,Month-to-month,Fiber optic,Bank transfer,3,0,No,No,Yes,1
CUST10010,38,83.08,3047.86,Month-to-month,DSL,Credit card,4,2,No,No,Yes,1
CUST10011,71,93.68,6556.85,Month-to-month,No,,0,2,No,Yes,Yes,0
CUST10012,53,126.83,6782.15,One year,Fiber optic,Electronic check,0,2,No,No,Yes,1
CUST10013,55,128.38,7016.99,Month-to-month,Fiber optic,Electronic check,2,2,Yes,No,Yes,1
CUST10014,52,55.26,2728.21,Two year,DSL,Bank transfer,1,2,No,No,Yes,1
CUST10015,57,102.04,5951.36,Month-to-month,Fiber optic,Electronic check,1,3,No,No,Yes,1
CUST10016,37,103.75,3728.79,One year,No,Bank transfer,1,2,Yes,No,Yes,1
CUST10017,10,61.38,593.86,Month-to-month,DSL,Mailed check,1,1,No,Yes,Yes,1
CUST10018,61,38.01,,Month-to-month,DSL,Bank transfer,2,2,No,No,No,0
CUST10019,33,29.3,937.13,One year,DSL,Electronic check,0,2,No,No,Yes,1
CUST10020,37,106.62,3856.48,Two year,Fiber optic,Credit card,0,1,No,No,Yes,1
CUST10021,27,76.42,2134.77,Month-to-month,Fiber optic,Bank transfer,3,1,No,No,Yes,1
CUST10022,14,128.48,1809.8,Month-to-month,Fiber optic,Electronic check,2,3,No,No,Yes,1
CUST10023,67,73.82,5044.31,One year,Fiber optic,Mailed check,3,2,No,Yes,No,0
CUST10024,57,127.68,7216.84,One year,DSL,Electronic check,1,4,No,No,Yes,1
CUST10025,47,68.22,3419.64,Month-to-month,DSL,Mailed check,2,4,No,No,Yes,1
CUST10026,29,108.34,2951.4,Month-to-month,DSL,Mailed check,2,1,No,No,Yes,1
CUST10027,60,33.91,1876.09,Month-to-month,No,Electronic check,2,0,No,No,No,1
CUST10028,40,83.32,3508.11,Two year,Fiber optic,Bank transfer,2,4,No,No,No,1
CUST10029,32,109.22,3542.44,Month-to-month,Fiber optic,Bank transfer,1,2,No,Yes,Yes,1
CUST10030,33,122.09,4063.11,Month-to-month,Fiber optic,Electronic check,4,2,No,No,Yes,1
CUST10031,17,111.37,1936.42,Two year,DSL,Electronic check,3,1,No,Yes,Yes,0
CUST10032,7,28.88,259.28,Month-to-month,DSL,Electronic check,1,2,No,Yes,No,1
CUST10033,40,64.13,2595.18,Month-to-month,DSL,Bank transfer,2,0,No,No,Yes,1
CUST10034,64,30.11,1830.45,Month-to-month,No,Mailed check,1,4,Yes,No,No,0
CUST10035,5,36.47,264.17,Month-to-month,Fiber optic,Electronic check,3,2,No,Yes,Yes,1
CUST10036,62,95.91,6012.49,Month-to-month,Fiber optic,Electronic check,2,2,No,Yes,No,1
CUST10037,60,99.89,6136.24,Month-to-month,DSL,Credit card,2,2,No,No,Yes,1
CUST10038,20,106.24,2301.22,One year,DSL,Mailed check,2,2,No,No,No,1
CUST10039,46,115.87,5363.07,One year,Fiber optic,Bank transfer,3,2,Yes,No,Yes,1
CUST10040,12,102.64,1108.93,Month-to-month,Fiber optic,,5,0,No,Yes,No,1
CUST10041,55,109.09,6177.2,One year,No,Electronic check,1,1,No,Yes,Yes,0
CUST10042,51,30.14,1435.33,Month-to-month,Fiber optic,Mailed check,3,0,No,Yes,No,1
CUST10043,26,49.63,1324.18,Two year,Fiber optic,Electronic check,2,5,No,No,Yes,1
CUST10044,5,90.3,425.83,Month-to-month,Fiber optic,Bank transfer,3,3,No,No,Yes,1
CUST10045,70,115.1,8013.94,One year,No,Mailed check,1,1,No,Yes,No,0
CUST10046,33,25.47,916.94,Month-to-month,Fiber optic,Mailed check,3,1,No,No,No,1
CUST10047,65,79.04,5162.05,One year,Fiber optic,Electronic check,1,2,No,Yes,No,0
CUST10048,49,96.12,4761.2,Month-to-month,No,Credit card,5,0,No,No,Yes,1
CUST10049,57,28.11,1520.7,One year,DSL,Electronic check,2,1,No,Yes,Yes,1
